Year,Units,variable_code,Value
2023,Dollars (millions),H01,930995
2023,Dollars (millions),H04, grants and subsidies"
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H07,25010
2023,Dollars (millions),H08,832964
2023,Dollars (millions),H09,55267
2023,Dollars (millions),H10,7426
2023,Dollars (millions),H11,30814
2023,Dollars (millions),H12,147663
2023,Dollars (millions),H13,269
2023,Dollars (millions),H14,1639
2023,Dollars (millions),H19,566979
2023,Dollars (millions),H20,23176
2023,Dollars (millions),H21,80778
2023,Dollars (millions),H22,88197
2023,Dollars (millions),H23,105450
2023,Dollars (millions),H24,2831894
2023,Dollars (millions),H25,861255
2023,Dollars (millions),H26,681890
2023,Dollars (millions),H29,1288749
2023,Dollars (millions),H30,2831893
2023,Dollars (millions),H31,957410
2023,Dollars (millions),H32,1074693
2023,Dollars (millions),H33,799791
2023,Dollars,H34,464600
2023,Dollars,H35,52600
2023,Percentage,H36,80
2023,Percentage,H37,72
2023,Percentage,H39,11
2023,Percentage,H40,4
2023,Percentage,H41,34
2023, Forestry and Fishing",Dollars (millions),Financial performance
2023, Forestry and Fishing",Dollars (millions),Financial performance
2023, Forestry and Fishing",Dollars (millions), dividends and donations"
2023, Forestry and Fishing",Dollars (millions), grants and subsidies"
2023, Forestry and Fishing",Dollars (millions),Financial performance
2023, Forestry and Fishing",Dollars (millions),Financial performance
2023, Forestry and Fishing",Dollars (millions),Financial performance
2023, Forestry and Fishing",Dollars (millions),Financial performance
2023, Forestry and Fishing",Dollars (millions),Financial performance
2023, Forestry and Fishing",Dollars (millions),Financial performance
2023, Forestry and Fishing",Dollars (millions),Financial performance
2023, Forestry and Fishing",Dollars (millions),Financial performance
2023, Forestry and Fishing",Dollars (millions),Financial performance
2023, Forestry and Fishing",Dollars (millions),Financial performance
2023, Forestry and Fishing",Dollars (millions),Financial performance
2023, Forestry and Fishing",Dollars (millions),Financial performance
2023, Forestry and Fishing",Dollars (millions),Financial position
2023, Forestry and Fishing",Dollars (millions),Financial position
2023, Forestry and Fishing",Dollars (millions),Financial position
2023, Forestry and Fishing",Dollars (millions),Financial position
2023, Forestry and Fishing",Dollars (millions),Financial position
2023, Forestry and Fishing",Dollars (millions),Financial position
2023, Forestry and Fishing",Dollars (millions),Financial position
2023, Forestry and Fishing",Dollars (millions),Financial position
2023, Forestry and Fishing",Dollars,Financial ratios
2023, Forestry and Fishing",Dollars,Financial ratios
2023, Forestry and Fishing",Percentage,Financial ratios
2023, Forestry and Fishing",Percentage,Financial ratios
2023, Forestry and Fishing",Percentage,Financial ratios
2023, Forestry and Fishing",Percentage,Financial ratios
2023, Forestry and Fishing",Percentage,Financial ratios
2023,Dollars (millions),H01,6011
2023,Dollars (millions),H04, grants and subsidies"
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H07,408
2023,Dollars (millions),H08,5270
2023,Dollars (millions),H09,337
2023,Dollars (millions),H10,43
2023,Dollars (millions),H11,376
2023,Dollars (millions),H12,977
2023,Dollars (millions),H13,0
2023,Dollars (millions),H19,3498
2023,Dollars (millions),H20,39
2023,Dollars (millions),H21,395
2023,Dollars (millions),H22,438
2023,Dollars (millions),H23,784
2023,Dollars (millions),H24,21791
2023,Dollars (millions),H25,3518
2023,Dollars (millions),H26,13836
2023,Dollars (millions),H29,4438
2023,Dollars (millions),H30,21791
2023,Dollars (millions),H31,10361
2023,Dollars (millions),H32,4237
2023,Dollars (millions),H33,7193
2023,Dollars,H34,243600
2023,Dollars,H35,31800
2023,Percentage,H36,83
2023,Percentage,H37,73
2023,Percentage,H39,8
2023,Percentage,H40,4
2023,Percentage,H41,48
2023,Dollars (millions),H01,6011
2023,Dollars (millions),H04, grants and subsidies"
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H07,408
2023,Dollars (millions),H08,5270
2023,Dollars (millions),H09,337
2023,Dollars (millions),H10,43
2023,Dollars (millions),H11,376
2023,Dollars (millions),H12,977
2023,Dollars (millions),H13,0
2023,Dollars (millions),H19,3498
2023,Dollars (millions),H20,39
2023,Dollars (millions),H21,395
2023,Dollars (millions),H22,438
2023,Dollars (millions),H23,784
2023,Dollars (millions),H24,21791
2023,Dollars (millions),H25,3518
2023,Dollars (millions),H26,13836
2023,Dollars (millions),H29,4438
2023,Dollars (millions),H30,21791
2023,Dollars (millions),H31,10361
2023,Dollars (millions),H32,4237
2023,Dollars (millions),H33,7193
2023,Dollars,H34,243600
2023,Dollars,H35,31800
2023,Percentage,H36,83
2023,Percentage,H37,73
2023,Percentage,H39,8
2023,Percentage,H40,4
2023,Percentage,H41,48
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions), government funding
2023, Beef Cattle and Grain Farming",Dollars (millions), dividends and donations"
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial position
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial position
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial position
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial position
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial position
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial position
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial position
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial position
2023, Beef Cattle and Grain Farming",Dollars,Financial ratios
2023, Beef Cattle and Grain Farming",Dollars,Financial ratios
2023, Beef Cattle and Grain Farming",Percentage,Financial ratios
